District,School,LowIncPct,ReadHigh,ReadMed
CAMP HILL,HOOVER EL SCH,5,37,32
LOWER DAUPHIN,CONEWAGO EL SCH,14,39,30
DANVILLE AREA,RIVERSIDE EL SCH,13,32,37
NAZARETH AREA,LOWER NAZARETH EL SCH,4,37,32
ALLENTOWN,MUHLENBERG EL SCH,13,40,29
EAST PENN,MACUNGIE EL SCH,4,43,26
PARKLAND,KERNSVILLE SCH,6,40,29
NEW HOPE-SOLEBURY,NEW HOPE-SOLEBURY EL SC,4,39,30
NORTH PENN,NORTH WALES EL SCH,10,43,26
DOWNINGTOWN AREA,PICKERING VALLEY EL SCH,1,41,28
HAVERFORD TWP.,OAKMONT SCH,6,42,27
UPPER DARBY,ARONIMINK EL SCH,5,42,27
MIFFLIN COUNTY,EAST DERRY EL SCH,43,28,40
SULLIVAN COUNTY,SULLIVAN CO EL SCH,39,41,27
RINGGOLD,GASTONVILLE EL CTR,27,35,33
HAMPTON TOWNSHIP,WYLAND EL SCH,12,35,33
KEYSTONE OAKS,HILLSDALE EL SCH,26,42,26
FAIRVIEW,GARWOOD MS,9,36,32
WARREN COUNTY,RUSSELL EL SCH,19,32,36
GREENSBURG SALEM,NICELY EL SCH,33,36,32
KISKI AREA,ALLEGHENY-HYDE PARK EL,26,30,38
STATE COLLEGE AREA,RADIO PARK EL SCH,7,40,28
MIFFLIN COUNTY,ARMAGH TWP EL SCH,33,43,25
CHAMBERSBURG AREA,LETTERKENNY EL SCH,18,24,44
WEST YORK AREA,TRIMMER EL SCH,8,39,29
LAMPETER-STRASBURG,HANS HERR EL SCH,7,36,32
LEBANON,SOUTHEAST EL SCH,26,32,36
BRANDYWINE HEIGHTS,LONGSWAMP EL SCH,14,35,33
DANIEL BOONE AREA,BIRDSBORO EL CTR,14,45,23
KUTZTOWN AREA,MAXATAWNY EL SCH,13,18,50
MECHANICSBURG AREA,FILBERT STREET EL SCH,5,43,25
SOUTH MIDDLETON,IRON FORGE EDUCNL CTR,10,38,30
WILLIAMSPORT AREA,ROUND HILLS EL SCH,19,35,33
WILKES-BARRE AREA,BEAR CREEK TWP EL SCH,19,30,38
SOUTHERN LEHIGH,HOPEWELL EL SCH,8,32,36
COUNCIL ROCK,GOODNOE EL SCH,2,40,28
LOWER MORELAND TWP.,MURRAY AVENUE EL SCH,1,35,33
SOUDERTON AREA,FRANCONIA EL SCH,12,31,37
SPRING-FORD AREA,OAKS EL SCH,12,34,34
DOWNINGTOWN AREA,WEST BRADFORD EL SCH,4,51,17
WILLIAM PENN,EAST LANSDOWNE SCH,27,32,36
CANON-MCMILLAN,HILLS-HENDERSONVILLE EL,20,30,37
PINE-RICHLAND,RICHLAND EL SCH,8,37,30
HARBOR CREEK,KLEIN EL SCH,19,46,21
NORWIN,SHAW EL SCH,30,21,46
HOLLIDAYSBURG AREA,FOOT OF TEN EL SCH,30,30,37
TYRONE AREA,ADAMS GR SCH,25,25,42
PENNS VALLEY AREA,GREGG TOWNSHIP EL SCH,27,42,25
MIFFLIN COUNTY,UNION TWP EL SCH,26,40,27
CHAMBERSBURG AREA,FALLING SPRING EL SCH,12,45,22
CHAMBERSBURG AREA,GUILFORD HILLS EL SCH,19,21,46
DALLASTOWN AREA,LOGANVLLE-SPRINGFLD EL,7,29,38
COCALICO,ADAMSTOWN EL SCH,22,28,39
EPHRATA AREA,CLAY EL SCH,13,19,48
DANIEL BOONE AREA,AMITY EL CTR,14,34,33
KUTZTOWN AREA,KUTZTOWN EL SCH,7,44,23
OLEY VALLEY,OLEY VALLEY EL SCH,1,37,30
NORTHERN TIOGA,GERTRUDE CASE EL SCH,39,25,42
WYALUSING AREA,LACEYVILLE EL SCH,33,29,38
BETHLEHEM AREA,GOVERNOR WOLF EL SCH,19,43,24
EAST PENN,JEFFERSON EL SCH,7,38,29
CENTENNIAL,STACKPOLE EL SCH,5,30,37
NORTH PENN,KNAPP EL SCH,12,41,26
AVON GROVE,PENN LONDON EL SCH,9,38,29
OWEN J. ROBERTS,VINCENT EL SCH,8,35,32
AMBRIDGE AREA,RIDGE ROAD EL SCH,10,43,24
SHIKELLAMY,GRACE S BECK SCH,46,34,32
