District,School,LowIncPct,ReadHigh,ReadMed
SCRANTON CITY,NEIL ARMSTRONG #40,54,10,23
MAHANOY AREA,MAHANOY AREA MS,44,8,25
CONNELLSVILLE AREA,ZACHARIAH CONNELL EL,78,9,23
PITTSBURGH,WEST SIDE TRAD ACADEMY,62,12,20
ERIE CITY,EMERSON-GRIDLEY EL SCH,79,13,19
VALLEY GROVE,SUGARCREEK MS,51,12,20
PHILIPSBURG-OSCEOLA,OSCEOLA MILLS EL SCH,37,9,23
MOUNT UNION AREA,SHIRLEY TWP EL SCH,57,9,23
COLUMBIA BOROUGH,PARK EL SCH,40,11,21
LANCASTER,HAMILTON EL SCH,39,10,22
LINE MOUNTAIN,WEST CAMERON EL SCH,50,16,16
WYOMING VALLEY WEST,SCHUYLER AVENUE EL SCH,36,16,16
ALBERT GALLATIN,D FERD SWANEY EL SCH,71,8,23
CONNELLSVILLE AREA,SPRINGFIELD EL SCH,82,13,18
BERWICK AREA,MULBERRY STREET EL SCH,66,8,23
MT. CARMEL AREA,MOUNT CARMEL EL SCH,54,15,16
SHAMOKIN AREA,SHAMOKIN AREA EL SCH,55,11,20
PHILADELPHIA,GIRARD STEPHEN SCH,82,8,23
PHILADELPHIA,JENKS JOHN S SCH,46,10,21
BRISTOL TOWNSHIP,BUCHANAN EL SCH,31,11,19
SHARON CITY,WEST HILL EL SCH,78,12,18
UNIONTOWN AREA,LAFAYETTE EL/MS,67,10,20
PITTSBURGH,DILWORTH TRAD ACADEMY,76,15,15
PITTSBURGH,SCHAEFFER EL SCH,64,13,17
ERIE CITY,DIEHL EL SCH,82,13,17
DUBOIS AREA,HIGHLAND STREET EL SCH,49,15,15
KEYSTONE CENTRAL,PORTER TWP EL SCH,36,15,15
READING,MILLMONT EL SCH,40,13,17
WILLIAMSPORT AREA,STEVENS EL SCH,61,16,14
SCRANTON CITY,MCNICHOLS PLAZA,77,13,17
POTTSTOWN,RUPERT EL SCH,43,13,17
SOUTHEAST DELCO,HARRIS EL SCH,46,8,22
PHILADELPHIA,POLLOCK ROBERT B SCH,60,17,13
PENNS MANOR AREA,PENNS MANOR AREA EL SCH,54,16,14
STEEL VALLEY,BARRETT EL SCH,72,11,18
NEW CASTLE AREA,WASHINGTON INTRMD EL,59,11,18
ALBERT GALLATIN,SMITHFIELD EL SCH,59,10,19
PITTSBURGH,BROOKLINE EL SCH,56,6,23
ERIE CITY,CONNELL EL SCH,57,12,17
ERIE CITY,IRVING EL SCH,64,7,22
NEW KENSINGTN-ARNLD,FORT CRAWFORD SCH,60,10,19
CLAYSBURG KIMMEL,CLAYSBURG-KIMMEL EL SCH,58,11,18
KEYSTONE CENTRAL,SUGAR VALLEY AREA SCH,44,13,16
LANCASTER,ROSS EL SCH,57,11,18
STEELTON-HIGHSPIRE,STEELTON-HIGHSPIRE EL,50,14,15
PANTHER VALLEY,PANTHER VALLEY EL SCH,55,11,18
SOUTHEAST DELCO,DELCROFT SCH,45,10,19
PHILADELPHIA,FORREST EDWIN SCH,61,5,24
PHILADELPHIA,MAYFAIR SCH,61,7,22
KEYSTONE CENTRAL,LIBERTY CURTIN EL SCH,36,14,14
ALBERT GALLATIN,FRIENDSHIP HILL EL SCH,49,12,16
PITTSBURGH,STEVENS EL SCH,82,11,17
WARREN COUNTY,SUGAR GROVE EL SCH,39,12,16
KEYSTONE CENTRAL,RENOVO EL SCH,72,14,14
MOUNT UNION AREA,MOUNT UNION EL SCH,48,14,14
EASTON AREA,723 COAL STREET,46,13,15
ALLENTOWN,JEFFERSON EL SCH,69,11,17
BENSALEM TOWNSHIP,CORNWELLS EL SCH,49,7,21
PHILADELPHIA,FARRELL LOUIS H SCH,63,9,19
PHILADELPHIA,HACKETT HORATIO B SCH,91,13,15
PHILADELPHIA,RHAWNHURST SCH,64,12,16
KEYSTONE CENTRAL,MCGHEE EL SCH,37,11,16
READING,THIRTEENTH & GREEN EL,35,16,11
PITTSBURGH,GRANDVIEW EL SCH,72,8,19
ALLENTOWN,WASHINGTON EL SCH,68,8,19
FARRELL AREA,FARRELL AREA EL SCH,75,9,17
PITTSBURGH,CHATHAM EL SCH,78,0,26
PITTSBURGH,GREENFIELD EL SCH,80,15,11
ALLEGHENY-CLARION VALLE,EMLENTON EL SCH,47,8,18
BETHLEHEM AREA,FREEMANSBURG EL SCH,61,5,21
ALLENTOWN,JACKSON EL SCH,56,13,13
BRISTOL TOWNSHIP,LINCOLN EL SCH,43,12,14
WILLIAM PENN,BELL AVENUE SCHOOL,50,10,16
PHILADELPHIA,FRANKLIN BENJAMIN SCH,59,9,17
ALLEGHENY-CLARION VALLE,ST PETERSBURG EL SCH,57,10,15
TYRONE AREA,LOGAN GR SCH,65,7,18
WYOMING VALLEY WEST,MAIN EL CTR,61,13,12
BRISTOL BOROUGH,SNYDER-GIROTTI EL SCH,48,6,19
PHILADELPHIA,SHARSWOOD GEORGE SCH,80,3,22
PHILADELPHIA,SOLIS-COHEN SOLOMON SCH,64,12,13
HARRISBURG CITY,BEN FRANKLIN ACAD PREP,41,11,13
PITTSBURGH,MANN EL SCH,74,9,15
MCKEESPORT AREA,CORNELL MS,68,11,13
LANCASTER,WICKERSHAM EL SCH,47,16,8
CHESTER UPLAND,STETSER EL SCH,74,6,18
PITTSBURGH,ARLINGTON EL SCH,81,5,18
LEBANON,NORTHWEST EL SCH,53,9,14
WILLIAMSPORT AREA,LOSE EL SCH,81,8,15
SCRANTON CITY,JOHN ADAMS #4,85,5,18
PHILADELPHIA,CARNELL LAURA H SCH,64,6,17
PHILADELPHIA,LEVERING WILLIAM SCH,80,7,16
PHILADELPHIA,MOORE J HAMPTON SCH,59,7,16
PITTSBURGH,MANCHESTER EL SCH,73,9,13
PHILADELPHIA,GREENFIELD ALBERT M SCH,59,7,15
PHILADELPHIA,LAMBERTON ROBERT E SCH,60,7,15
PITTSBURGH,SPRING HILL EL SCH,81,8,13
PHILADELPHIA,ALLEN ETHAN SCH,70,8,13
PITTSBURGH,BELMAR EL SCH,82,7,13
PITTSBURGH,FULTON EL SCH,72,5,15
PITTSBURGH,PHILLIPS EL SCH,71,8,12
YORK CITY,MCKINLEY SCH,77,4,16
PHILADELPHIA,BROWN JOSEPH H SCH,69,5,15
PHILADELPHIA,HOUSTON HENRY E SCH,63,6,14
PHILADELPHIA,MCCLOSKEY JOHN F SCH,69,4,16
PHILADELPHIA,PATTERSON JOHN M SCH,85,6,14
ALIQUIPPA,ALIQUIPPA MS,77,6,14
PITTSBURGH,SPRING GARDEN EL SCH,75,2,17
READING,NORTHWEST EL SCH,64,5,14
PHILADELPHIA,DECATUR STEPHEN SCH,63,3,16
PITTSBURGH,FRIENDSHIP EL SCH,77,9,9
YORK CITY,GOODE SCH,73,10,8
READING,GLENSIDE EL SCH,72,0,18
PHILADELPHIA,KINSEY JOHN L SCH,90,2,16
PHILADELPHIA,PENNYPACKER SAMUEL SCH,81,3,15
PHILADELPHIA,SULLIVAN JAMES J SCH,81,4,14
ARMSTRONG,SPACES EL SCH,70,9,9
ALTOONA AREA,IRVING EL SCH,67,4,13
LANCASTER,FULTON EL SCH,56,5,12
READING,TENTH & GREEN EL SCH,69,6,11
PHILADELPHIA,FINLETTER THOMAS K SCH,69,3,14
PHILADELPHIA,MEREDITH WILLIAM M SCH,62,3,14
PHILADELPHIA,RICHMOND SCH,85,6,11
PHILADELPHIA,ROWEN WILLIAM SCH,86,3,14
PITTSBURGH,"KING, M L EL SCH",90,5,11
PITTSBURGH,MCKELVY EL SCH,92,3,13
PITTSBURGH,NORTHVIEW HEIGHTS EL,84,5,11
CHAMBERSBURG AREA,STEVENS EL SCH,63,3,13
LANCASTER,PRICE EL SCH,61,5,11
PHILADELPHIA,BARTON CLARA SCH,90,4,12
PHILADELPHIA,EDMONDS FRANKLIN S SCH,80,6,10
PHILADELPHIA,SPRING GARDEN SCH,98,4,12
NEW KENSINGTN-ARNLD,BERKEY SCH,54,2,13
WILKINSBURG BORO,JOHNSTON EL SCH,75,7,8
CLAIRTON CITY,CLAIRTON MS,67,4,11
PHILADELPHIA,ANDERSON ADD B SCH,82,1,14
PHILADELPHIA,EMLEN ELEANOR C SCH,85,4,11
PHILADELPHIA,HOLME THOMAS SCH,85,6,9
PHILADELPHIA,LOWELL JAMES R SCH,80,6,9
PHILADELPHIA,STEARNE ALLEN M SCH,91,2,13
CHESTER UPLAND,WETHERILL EL SCH,58,2,12
STO-ROX,MILES BRYAN SCH,77,5,9
SHARON CITY,MUSSER EL SCH,81,6,8
PITTSBURGH,BURGWIN EL SCH,83,2,12
PITTSBURGH,MADISON EL SCH,65,2,12
READING,TYSON-SCHOENER EL SCH,87,5,9
WILLIAM PENN,WALNUT ST SCH,61,2,12
PHILADELPHIA,BLUFORD GUION EL SCH,87,2,12
PHILADELPHIA,BRYANT WILLIAM C SCH,87,5,9
PHILADELPHIA,CASSIDY LEWIS C SCH,80,3,11
PHILADELPHIA,ELLWOOD SCH,70,7,7
PHILADELPHIA,FITLER ACADEMICS PLUS,64,2,12
PHILADELPHIA,GOMPERS SAMUEL SCH,70,7,7
PHILADELPHIA,VARE ABIGAIL SCH,92,7,7
PHILADELPHIA,WEBSTER JOHN H SCH,86,3,11
YORK CITY,JACKSON SCH,77,3,10
ALLENTOWN,SHERIDAN EL SCH,88,3,10
PHILADELPHIA,BACHE-MARTIN SCH,80,5,8
PHILADELPHIA,BRIDESBURG SCH,71,2,11
PHILADELPHIA,COOK-WISSAHICKON SCH,87,2,11
PHILADELPHIA,DAY ANNA B SCH,85,3,10
PHILADELPHIA,MANN WILLIAM B SCH,82,2,11
PHILADELPHIA,SHERIDAN PHILIP H SCH,91,1,12
PHILADELPHIA,FITZPATRICK A L SCH,62,4,8
DUQUESNE CITY,DUQUESNE EL SCH,82,5,7
ERIE CITY,MCKINLEY EL SCH,70,4,8
HARRISBURG CITY,SHIMMELL EL SCH,61,4,7
READING,AMANDA E STOUT EL SCH,80,7,4
PHILADELPHIA,DOBSON JAMES SCH,82,3,8
PHILADELPHIA,DUNBAR PAUL L SCH,91,2,9
PHILADELPHIA,HAMILTON ANDREW SCH,81,3,8
PHILADELPHIA,HOWE JULIA WARD SCH,87,4,7
PHILADELPHIA,LINGELBACH ANNA L SCH,79,2,9
PHILADELPHIA,MARSHALL JOHN SCH,90,0,11
PHILADELPHIA,OLNEY EL SCH,80,1,10
HARRISBURG CITY,LINCOLN EL SCH,61,3,7
HARRISBURG CITY,MELROSE EL SCH,58,2,8
WILKINSBURG BORO,KELLY EL SCH,80,2,8
PITTSBURGH,BELTZHOOVER EL SCH,74,4,6
YORK CITY,LINCOLN SCH,77,5,5
READING,LAUERS PARK EL SCH,84,2,8
PHILADELPHIA,ADAIRE ALEXANDER SCH,86,0,10
PHILADELPHIA,DAROFF SAMUEL SCH,92,2,8
PHILADELPHIA,KEY FRANCIS SCOTT SCH,95,5,5
PHILADELPHIA,MORRISON ANDREW J SCH,80,2,8
PHILADELPHIA,PRINCE HALL,82,2,8
PHILADELPHIA,TAGGART JOHN H SCH,87,3,7
PITTSBURGH,MCCLEARY EL SCH,73,2,7
LANCASTER,CARTER MACRAE EL SCH,72,2,7
PHILADELPHIA,COMEGYS BENJAMIN B SCH,92,3,6
PHILADELPHIA,GIDEON EDWARD SCH,96,2,7
PHILADELPHIA,SOUTHWARK SCH,92,2,7
PHILADELPHIA,THOMAS GEORGE C MS,85,4,5
CHESTER UPLAND,TOBY FARMS SCH,67,3,5
WILKINSBURG BORO,TURNER EL SCH,70,4,4
PHILADELPHIA,CLEVELAND GROVER SCH,91,2,6
PHILADELPHIA,COOKE JAY MS,87,3,5
PHILADELPHIA,DOUGLASS FREDERICK SCH,98,1,7
PHILADELPHIA,HOPKINSON FRANCIS SCH,82,5,3
PHILADELPHIA,JACKSON ANDREW SCH,91,4,4
PHILADELPHIA,KEARNY GEN PHILIP SCH,96,2,6
PHILADELPHIA,KENDERTON SCH,95,4,4
PHILADELPHIA,SMEDLEY FRANKLIN SCH,91,0,8
PHILADELPHIA,WISTER JOHN SCH,95,2,6
PHILADELPHIA,MIDDLE YEARS ALT-MYA,70,1,6
ALLENTOWN,ROOSEVELT EL SCH,75,0,7
PHILADELPHIA,BARRY COMM JOHN SCH,91,0,7
PHILADELPHIA,BETHUNE MARY MCLEOD SCH,96,0,7
PHILADELPHIA,BLANKENBURG RUDOLPH SCH,90,0,7
PHILADELPHIA,FELTONVILLE SCH,90,2,5
PHILADELPHIA,HILL LESLIE P SCH,92,0,7
PHILADELPHIA,NEBINGER GEORGE W SCH,92,0,7
PHILADELPHIA,PASTORIUS FRANCIS P SCH,91,3,4
PHILADELPHIA,WARING LAURA W SCH,98,0,7
PHILADELPHIA,WILLARD FRANCES E SCH,95,0,7
HARRISBURG CITY,DOWNEY EL SCH,68,0,6
PITTSBURGH,LINCOLN EL SCH,91,6,0
LANCASTER,GEORGE WASHINGTON EL,74,0,6
PHILADELPHIA,CREIGHTON THOMAS SCH,79,2,4
PHILADELPHIA,DURHAM THOMAS CHILD DEV,80,2,4
PHILADELPHIA,HESTON EDWARD SCH,92,0,6
PHILADELPHIA,HUEY SAMUEL B SCH,92,0,6
PHILADELPHIA,LOGAN SCH,91,3,3
PHILADELPHIA,MORRIS ROBERT SCH,96,3,3
PHILADELPHIA,REYNOLDS GEN JOHN F SCH,96,0,6
PHILADELPHIA,WELSH JOHN SCH,96,1,5
PITTSBURGH,VANN EL SCH,86,0,5
PITTSBURGH,WEIL EL SCH,94,2,3
SHIKELLAMY,EDISON SCH,75,0,5
PHILADELPHIA,PENNELL JOSEPH SCH,86,0,5
PHILADELPHIA,STEEL EDWARD SCH,95,1,4
PHILADELPHIA,DISSTON HAMILTON SCH,71,2,2
PITTSBURGH,CRESCENT EL SCH,75,2,2
PITTSBURGH,FORT PITT EL SCH,90,0,4
PITTSBURGH,LEMINGTON EL SCH,83,0,4
PITTSBURGH,MILLER EL SCH,81,4,0
PHILADELPHIA,BELMONT SCH,96,0,4
PHILADELPHIA,FULTON ROBERT SCH,91,0,4
PHILADELPHIA,HARRISON WILLIAM H SCH,99,2,2
PHILADELPHIA,HARRITY WILLIAM F SCH,87,1,3
PHILADELPHIA,JONES JOHN PAUL MS,91,1,3
PHILADELPHIA,LEA HENRY C SCH,91,2,2
PHILADELPHIA,LEIDY JOSEPH SCH,95,0,4
PHILADELPHIA,LOCKE ALAIN SCH,96,0,4
PHILADELPHIA,LUDLOW JAMES R SCH,99,0,4
PHILADELPHIA,PRATT ANNA B SCH,96,0,4
PHILADELPHIA,WASHINGTON GEORGE SCH,95,0,4
PHILADELPHIA,WRIGHT RICHARD R SCH,96,2,2
PHILADELPHIA,BLAINE JAMES G SCH,95,0,3
PHILADELPHIA,CLEMENTE ROBERTO MS,95,0,3
PHILADELPHIA,DREW CHARLES R SCH,91,0,3
PHILADELPHIA,FERGUSON JOSEPH C SCH,99,0,3
PHILADELPHIA,MIFFLIN THOMAS SCH,95,3,0
PHILADELPHIA,MOFFET JOHN SCH,96,0,3
PHILADELPHIA,PEIRCE THOMAS M SCH,91,2,1
PHILADELPHIA,RHOADS JAMES SCH,95,1,2
PHILADELPHIA,RHODES E WASHINGTON MS,91,0,3
PHILADELPHIA,STANTON M HALL SCH,96,1,2
PHILADELPHIA,TILDEN WILLIAM T MS,90,2,1
PHILADELPHIA,VARE EDWIN H MS,91,1,2
PHILADELPHIA,WILSON ALEXANDER SCH,92,0,3
READING,THOMAS H FORD EL SCH,92,0,2
PHILADELPHIA,BARRATT NORRIS S MS,95,1,1
PHILADELPHIA,CLYMER GEORGE SCH,96,1,1
PHILADELPHIA,DICK WILLIAM SCH,99,0,2
PHILADELPHIA,KELLEY WILLIAM D SCH,96,0,2
PHILADELPHIA,MCKINLEY WILLIAM SCH,98,0,2
PHILADELPHIA,MCMICHAEL MORTON SCH,95,0,2
PHILADELPHIA,PENN TREATY MS,96,0,2
PHILADELPHIA,WALTON RUDOLPH S SCH,96,0,2
PHILADELPHIA,HARTRANFT JOHN F SCH,99,0,1
PHILADELPHIA,STETSON JOHN B MS,95,0,1
PHILADELPHIA,VAUX ROBERTS MS,96,0,1
PHILADELPHIA,DUCKREY TANNER SCH,96,0,0
PHILADELPHIA,PALUMBO FRANK SCH,99,0,0
PHILADELPHIA,POTTER-THOMAS SCH,98,0,0
PHILADELPHIA,STANTON EDWIN M SCH,95,0,0
